,precision,recall,f1-score,support
normal,0.7360328036904151,0.8650602409638555,0.7953475491553585,1660.0
abnormal,0.8262218774243599,0.6740506329113924,0.7424189613105612,1580.0
accuracy,0.7719135802469136,0.7719135802469136,0.7719135802469136,0.7719135802469136
macro avg,0.7811273405573875,0.769555436937624,0.7688832552329599,3240.0
weighted avg,0.7800138952026474,0.7719135802469136,0.7695366945890685,3240.0
